customer_id,tenure,monthly_charges,contract_type,internet_service,payment_method,churn
1,52,36.159795595802116,Month-to-month,No,Bank transfer,0
2,15,31.83541013265875,Two year,DSL,Mailed check,0
3,61,96.06797612209661,Two year,DSL,Mailed check,1
4,21,112.75035512965756,Two year,No,Electronic check,0
5,24,65.82832163862732,Month-to-month,Fiber optic,Bank transfer,0
6,3,85.94456587156382,Month-to-month,No,Credit card,1
7,22,111.44576508809412,One year,No,Electronic check,0
8,53,29.011363293414455,Two year,No,Credit card,1
9,2,97.04814531190299,One year,No,Bank transfer,0
10,30,81.68168843755751,Month-to-month,No,Electronic check,1
11,38,79.86371788298614,One year,No,Bank transfer,0
12,2,49.254042848156985,One year,No,Bank transfer,0
13,64,88.38933547776769,One year,Fiber optic,Credit card,0
14,60,99.47977548207766,Two year,No,Credit card,1
15,21,31.285816494369715,Month-to-month,DSL,Credit card,0
16,33,73.35214309809838,Two year,No,Bank transfer,0
17,58,30.126518098740966,One year,Fiber optic,Mailed check,1
18,22,107.25740192976446,Two year,DSL,Bank transfer,0
19,49,70.76367226563474,Month-to-month,No,Mailed check,1
20,59,100.79656892607574,Month-to-month,No,Electronic check,0
21,42,56.808563766621425,One year,DSL,Credit card,0
22,60,32.50782268163254,One year,No,Credit card,0
23,15,24.149930438571147,Two year,Fiber optic,Bank transfer,0
24,62,48.15096207723755,Month-to-month,No,Mailed check,0
25,62,44.42337003640785,Month-to-month,Fiber optic,Electronic check,0
26,47,76.03519740199619,Two year,No,Bank transfer,0
27,62,22.173883806370736,Month-to-month,DSL,Electronic check,0
28,51,72.05705442991734,One year,Fiber optic,Mailed check,0
29,55,59.177174201200316,One year,No,Credit card,0
30,64,77.71222699144423,Two year,No,Credit card,0
31,3,90.24175281503646,Two year,DSL,Mailed check,1
32,51,83.4091945079839,Two year,DSL,Credit card,0
33,7,118.46443693733663,One year,Fiber optic,Bank transfer,0
34,21,33.826534387687104,Two year,Fiber optic,Mailed check,0
35,39,62.97370089297785,Month-to-month,Fiber optic,Credit card,1
36,18,62.483073664331116,Two year,No,Mailed check,0
37,4,61.705320370292064,Month-to-month,No,Electronic check,0
38,60,86.37983920426683,One year,Fiber optic,Bank transfer,1
39,14,68.98280605467224,Month-to-month,No,Bank transfer,0
40,9,71.7432559812963,Month-to-month,DSL,Bank transfer,0
41,53,63.23559921467647,Month-to-month,No,Credit card,1
42,2,119.16994610185625,One year,Fiber optic,Electronic check,0
43,60,112.75613488190422,Month-to-month,No,Credit card,0
44,71,50.77241893643709,Month-to-month,DSL,Credit card,0
45,44,31.159392476666717,Two year,Fiber optic,Mailed check,0
46,8,103.97647240386028,Two year,Fiber optic,Bank transfer,0
47,47,119.71702514257245,Two year,Fiber optic,Credit card,0
48,35,49.260889403964555,Month-to-month,Fiber optic,Bank transfer,0
49,36,55.778492584176625,Month-to-month,No,Electronic check,0
50,50,114.16331814852029,One year,DSL,Electronic check,1
51,4,91.11295180030899,Month-to-month,No,Bank transfer,1
52,2,49.563833177963616,Month-to-month,No,Bank transfer,0
53,6,78.10464912839151,One year,Fiber optic,Electronic check,0
54,54,114.4229579364256,Month-to-month,DSL,Electronic check,0
55,4,101.18131069457786,One year,No,Credit card,0
56,54,94.18327137286596,One year,DSL,Electronic check,1
57,63,93.69963117270224,Two year,DSL,Credit card,1
58,18,37.80203242922703,Month-to-month,DSL,Electronic check,0
59,44,102.46812392279365,Two year,DSL,Credit card,0
60,34,47.61186324434581,Month-to-month,No,Mailed check,1
61,62,113.03666579015295,Two year,DSL,Mailed check,1
62,14,56.4639991013783,One year,No,Credit card,0
63,48,105.76603970422565,One year,DSL,Bank transfer,0
64,15,46.62334945178014,One year,DSL,Mailed check,0
